file,sound,param,value,crest_factor_db,spectral_centroid_hz,spectral_centroid_hz_100ms,centroid_slope_hz_per_ms,band_sub_share,band_low_share,band_lowmid_share,band_mid_share,band_high_share,band_air_share,decay20_ms,decay40_ms,sustain_share,conf
corpus:001-sascha-m-ller-punkt-1-01-sascha-muller-1-01@1.997,hook,corpus,1.997,11.23512,1323.14681,1323.14681,-3.36713,0.04963,0.21252,0.21048,0.50842,0.01873,0.00021,92.0,92.0,0.19612,0.839
corpus:001-sascha-m-ller-punkt-1-01-sascha-muller-1-01@12.283,hook,corpus,12.283,11.05565,1421.88423,1421.88423,-3.41238,0.05491,0.2192,0.23885,0.47135,0.01515,0.00054,92.0,92.0,0.20825,0.835
corpus:001-sascha-m-ller-punkt-1-01-sascha-muller-1-01@14.617,kick,corpus,14.617,10.08866,2344.18629,2277.4066,-0.81968,0.40594,0.47578,0.02571,0.03599,0.05378,0.0028,94.0,116.0,0.18878,0.82
corpus:001-sascha-m-ller-punkt-1-01-sascha-muller-1-01@3.483,kick,corpus,3.483,8.5439,929.46051,1009.96278,-8.39884,0.3537,0.61575,0.02305,0.00716,0.00028,7e-05,40.0,116.0,0.64607,0.817
corpus:001-sascha-m-ller-punkt-1-01-sascha-muller-1-01@16.335,kick,corpus,16.335,11.77242,2744.09515,2679.09349,3.373,0.4267,0.47575,0.02951,0.01503,0.04806,0.00496,62.0,116.0,0.15699,0.812
corpus:001-sascha-m-ller-punkt-1-01-sascha-muller-1-01@53.429,hook,corpus,53.429,11.65649,1517.09948,1517.09948,-0.06559,0.04105,0.19894,0.17472,0.53249,0.05238,0.00043,92.0,92.0,0.17911,0.798
corpus:001-sascha-m-ller-punkt-1-01-sascha-muller-1-01@0.906,kick,corpus,0.906,10.98594,2295.72302,2359.66592,-6.01065,0.40766,0.41806,0.02622,0.07612,0.06934,0.0026,86.0,116.0,0.25321,0.797
corpus:001-sascha-m-ller-punkt-1-01-sascha-muller-1-01@2.624,kick,corpus,2.624,10.23433,2163.62207,2185.16681,-6.54258,0.40174,0.44626,0.03361,0.08199,0.03311,0.0033,60.0,116.0,0.16025,0.797
corpus:001-sascha-m-ller-punkt-1-01-sascha-muller-1-01@0.279,hook,corpus,0.279,12.16252,1734.91225,1734.91225,-0.46603,0.04776,0.13262,0.11808,0.4583,0.24278,0.00045,92.0,92.0,0.24166,0.782
corpus:001-sascha-m-ller-punkt-1-01-sascha-muller-1-01@49.47,hook,corpus,49.47,12.61832,1308.43912,1445.17431,-0.87911,0.07227,0.48439,0.11256,0.32465,0.0055,0.00064,70.0,174.0,0.27313,0.777
